Date,Open,High,Low,Close,Adj Close,Volume
2020-06-03,0.018160,0.018372,0.016911,0.017993,0.017993,64804016
2020-06-04,0.017992,0.018020,0.016472,0.016474,0.016474,43425868
2020-06-05,0.016473,0.018104,0.016439,0.017993,0.017993,52803704
2020-06-06,0.017993,0.022422,0.017971,0.021259,0.021259,142446269
2020-06-07,0.021193,0.022601,0.020100,0.022401,0.022401,115950810
2020-06-08,0.022396,0.022396,0.020973,0.021316,0.021316,51130682
2020-06-09,0.021307,0.024626,0.020834,0.024488,0.024488,90448216
2020-06-10,0.024482,0.028830,0.023795,0.027343,0.027343,175041447
2020-06-11,0.027329,0.029876,0.024106,0.025453,0.025453,216391538
2020-06-12,0.025327,0.026724,0.024687,0.026014,0.026014,107249148
2020-06-13,0.026004,0.026057,0.021956,0.022674,0.022674,119753132
2020-06-14,0.022719,0.024363,0.021710,0.023062,0.023062,107438019
2020-06-15,0.023062,0.025668,0.020877,0.025160,0.025160,165765500
2020-06-16,0.025149,0.026432,0.024482,0.025089,0.025089,93447697
2020-06-17,0.025096,0.025098,0.023091,0.023303,0.023303,85004528
2020-06-18,0.023303,0.023332,0.020480,0.020884,0.020884,94241244
2020-06-19,0.020891,0.021842,0.018441,0.018678,0.018678,101494606
2020-06-20,0.018678,0.019289,0.017723,0.019135,0.019135,92722020
2020-06-21,0.019150,0.021170,0.019150,0.019905,0.019905,103657157
2020-06-22,0.019878,0.020568,0.019373,0.020010,0.020010,61338000
2020-06-23,0.020006,0.020098,0.018892,0.019464,0.019464,55911595
2020-06-24,0.019446,0.020397,0.018945,0.019575,0.019575,60459968
2020-06-25,0.019583,0.019768,0.018854,0.018889,0.018889,42095104
2020-06-26,0.018877,0.019014,0.017845,0.017853,0.017853,38519200
2020-06-27,0.017857,0.017936,0.015378,0.015907,0.015907,54479929
2020-06-28,0.015907,0.018604,0.015873,0.017968,0.017968,78453257
2020-06-29,0.017968,0.018314,0.017031,0.018057,0.018057,48640931
2020-06-30,0.018047,0.018108,0.017371,0.017400,0.017400,31965761
2020-07-01,0.017396,0.017796,0.017058,0.017434,0.017434,31850945
2020-07-02,0.017425,0.017957,0.016785,0.017526,0.017526,33725441
2020-07-03,0.017515,0.017515,0.016699,0.017039,0.017039,31280105
2020-07-04,0.017038,0.019462,0.016905,0.019094,0.019094,73742969
2020-07-05,0.019094,0.019387,0.017946,0.018562,0.018562,70801698
2020-07-06,0.018562,0.019248,0.018468,0.019001,0.019001,47930632
2020-07-07,0.019001,0.020717,0.018635,0.020259,0.020259,65726214
2020-07-08,0.020290,0.021218,0.020272,0.020813,0.020813,70300471
2020-07-09,0.020813,0.020871,0.019388,0.019872,0.019872,51143363
2020-07-10,0.019855,0.019864,0.018775,0.019682,0.019682,39431452
2020-07-11,0.019668,0.020294,0.019544,0.019970,0.019970,37251999
2020-07-12,0.019979,0.020039,0.019361,0.019394,0.019394,31536828
2020-07-13,0.019394,0.020801,0.019067,0.020001,0.020001,73902130
2020-07-14,0.019978,0.019997,0.019368,0.019793,0.019793,34415971
2020-07-15,0.019790,0.020025,0.019073,0.019143,0.019143,30127990
2020-07-16,0.019145,0.019145,0.017416,0.018003,0.018003,50852819
2020-07-17,0.017974,0.018517,0.017711,0.018177,0.018177,29565541
2020-07-18,0.018170,0.018202,0.017789,0.017966,0.017966,21494054
2020-07-19,0.017960,0.018304,0.017572,0.017880,0.017880,25914802
2020-07-20,0.017888,0.017985,0.017096,0.017358,0.017358,28245151
2020-07-21,0.017335,0.018203,0.017321,0.017970,0.017970,33188254
2020-07-22,0.017971,0.018777,0.017776,0.018777,0.018777,34858714
2020-07-23,0.018780,0.019652,0.018618,0.019519,0.019519,50078939
2020-07-24,0.019551,0.019567,0.018296,0.018441,0.018441,35544067
2020-07-25,0.018454,0.018714,0.018333,0.018547,0.018547,35163239
2020-07-26,0.018562,0.018564,0.017834,0.017983,0.017983,38125100
2020-07-27,0.017983,0.018030,0.016482,0.016963,0.016963,63473617
2020-07-28,0.016993,0.017997,0.016865,0.017958,0.017958,43768390
2020-07-29,0.017988,0.018361,0.017704,0.017764,0.017764,38257348
2020-07-30,0.017766,0.019794,0.017658,0.018346,0.018346,63637587
2020-07-31,0.018245,0.018961,0.017881,0.018042,0.018042,39883192
2020-08-01,0.018042,0.018658,0.017978,0.018576,0.018576,46864832
2020-08-02,0.018594,0.018792,0.015839,0.017793,0.017793,53093615
2020-08-03,0.017799,0.018167,0.017480,0.017561,0.017561,34392439
2020-08-04,0.017561,0.018441,0.017561,0.018412,0.018412,33836740
2020-08-05,0.018395,0.019763,0.018164,0.019698,0.019698,51115577
2020-08-06,0.019718,0.020950,0.019530,0.020110,0.020110,68293240
2020-08-07,0.020110,0.022683,0.020063,0.021889,0.021889,106414181
2020-08-08,0.021897,0.026712,0.021413,0.026258,0.026258,157682986
2020-08-09,0.026210,0.026210,0.023516,0.025113,0.025113,95147873
2020-08-10,0.025100,0.025820,0.023319,0.024989,0.024989,101400769
2020-08-11,0.024989,0.028117,0.024124,0.025995,0.025995,173196955
2020-08-12,0.026081,0.026879,0.023595,0.025849,0.025849,93556801
2020-08-13,0.025828,0.027599,0.024786,0.025550,0.025550,89258165
2020-08-14,0.025541,0.026556,0.024925,0.025019,0.025019,67055831
2020-08-15,0.025038,0.025406,0.024018,0.024771,0.024771,57237466
2020-08-16,0.024751,0.027250,0.024629,0.026315,0.026315,81519396
2020-08-17,0.026315,0.026839,0.024964,0.025162,0.025162,71311789
2020-08-18,0.025122,0.025719,0.022885,0.023264,0.023264,61387051
2020-08-19,0.023264,0.023900,0.021228,0.021906,0.021906,64966306
2020-08-20,0.021894,0.023106,0.021800,0.022747,0.022747,39311136
2020-08-21,0.022747,0.024623,0.021161,0.021243,0.021243,63746644
2020-08-22,0.021229,0.021980,0.020213,0.021980,0.021980,51743890
2020-08-23,0.021932,0.022164,0.020936,0.021431,0.021431,29555742
2020-08-24,0.021425,0.024222,0.021193,0.023737,0.023737,53909334
2020-08-25,0.023764,0.024113,0.020695,0.021419,0.021419,63905589
2020-08-26,0.021430,0.022490,0.021003,0.022432,0.022432,58995669
2020-08-27,0.022414,0.022453,0.019561,0.020305,0.020305,61433743
2020-08-28,0.020311,0.021162,0.020089,0.020995,0.020995,43972246
2020-08-29,0.021004,0.021345,0.020563,0.021001,0.021001,34346326
2020-08-30,0.021009,0.023257,0.020868,0.023242,0.023242,60754787
2020-08-31,0.023246,0.024265,0.022508,0.022518,0.022518,95933364
2020-09-01,0.022516,0.023168,0.021833,0.021952,0.021952,89151726
2020-09-02,0.021931,0.022524,0.019185,0.020334,0.020334,87848644
2020-09-03,0.020332,0.020502,0.015690,0.015990,0.015990,81006229
2020-09-04,0.015960,0.017265,0.015326,0.016676,0.016676,62606780
2020-09-05,0.016729,0.017178,0.013665,0.014940,0.014940,52855283
2020-09-06,0.014940,0.015697,0.014021,0.015336,0.015336,38686003
2020-09-07,0.015334,0.015735,0.014094,0.015293,0.015293,34024761
2020-09-08,0.015297,0.016651,0.014842,0.015626,0.015626,34171637
2020-09-09,0.015546,0.016940,0.015308,0.016511,0.016511,30343364
2020-09-10,0.016511,0.017912,0.016511,0.017282,0.017282,26472627
2020-09-11,0.017285,0.017505,0.016555,0.017254,0.017254,18863368
2020-09-12,0.017257,0.017846,0.017084,0.017824,0.017824,18260299
2020-09-13,0.017824,0.017824,0.016135,0.016659,0.016659,19706792
2020-09-14,0.016658,0.017035,0.016193,0.016798,0.016798,19545632
2020-09-15,0.016791,0.016928,0.015649,0.015685,0.015685,23092834
2020-09-16,0.015682,0.016947,0.015195,0.016931,0.016931,28155276
2020-09-17,0.016929,0.017484,0.016221,0.016648,0.016648,21750591
2020-09-18,0.016648,0.017347,0.016484,0.017040,0.017040,22314787
2020-09-19,0.017025,0.017179,0.016524,0.016871,0.016871,15885476
2020-09-20,0.016874,0.016938,0.015470,0.015742,0.015742,16736436
2020-09-21,0.015742,0.016066,0.013149,0.013850,0.013850,40982471
2020-09-22,0.013803,0.014367,0.013493,0.014183,0.014183,30595684
2020-09-23,0.014168,0.014322,0.013138,0.013908,0.013908,25239099
2020-09-24,0.013899,0.014678,0.013641,0.014615,0.014615,22939620
2020-09-25,0.014612,0.016320,0.014426,0.015922,0.015922,32826300
2020-09-26,0.015927,0.016553,0.015862,0.016362,0.016362,19903785
2020-09-27,0.016357,0.016563,0.015185,0.015504,0.015504,22864615
2020-09-28,0.015512,0.016117,0.015136,0.015143,0.015143,20045057
2020-09-29,0.015128,0.017889,0.015097,0.017464,0.017464,52209589
2020-09-30,0.017489,0.019823,0.016925,0.019534,0.019534,92997747
2020-10-01,0.019551,0.020672,0.018405,0.019409,0.019409,88114259
2020-10-02,0.019415,0.019532,0.016576,0.018089,0.018089,70098006
2020-10-03,0.018068,0.019530,0.017460,0.018595,0.018595,42957363
2020-10-04,0.018595,0.021381,0.018363,0.021277,0.021277,61673090
2020-10-05,0.021280,0.021633,0.020180,0.020796,0.020796,75984094
2020-10-06,0.020729,0.020729,0.017857,0.018204,0.018204,56218313
2020-10-07,0.018208,0.019237,0.017518,0.018856,0.018856,34105131
2020-10-08,0.018866,0.019520,0.017673,0.019147,0.019147,30752593
2020-10-09,0.019188,0.020378,0.018569,0.020168,0.020168,30349881
2020-10-10,0.020144,0.020680,0.019333,0.019778,0.019778,34655814
2020-10-11,0.019796,0.020779,0.019418,0.020631,0.020631,26127285
2020-10-12,0.020627,0.021052,0.020099,0.020303,0.020303,33382378
2020-10-13,0.020277,0.020606,0.019694,0.019984,0.019984,23248882
2020-10-14,0.019992,0.020004,0.018307,0.019026,0.019026,26588649
2020-10-15,0.019023,0.019234,0.018442,0.018616,0.018616,20152624
2020-10-16,0.018629,0.018803,0.017318,0.018005,0.018005,20700495
2020-10-17,0.018031,0.018337,0.017796,0.018063,0.018063,14228011
2020-10-18,0.018071,0.018475,0.018042,0.018440,0.018440,20027931
2020-10-19,0.018429,0.019942,0.017789,0.019771,0.019771,42299209
2020-10-20,0.019775,0.020573,0.018011,0.018274,0.018274,37337007
2020-10-21,0.018288,0.019048,0.018179,0.018579,0.018579,23304041
2020-10-22,0.018575,0.019896,0.018497,0.019417,0.019417,24134670
2020-10-23,0.019441,0.019891,0.019130,0.019661,0.019661,20231312
